Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
S. Cobbo
BRI v SOU | WFB, CTR
$392K  |  -$109k ( -$104k ), -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2, -$104k ,40,28.9,,,,,,,4,,3,10,-2,,,-2,,,18,,7,,,,,,2
M. King
CBY @ CRO | MID
$660K  |  $30k ( $21k ), $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,, $21k ,39,49.2,,,,,,,,,31,2,-6,,4,,,,8,,,,,,,,
V. Kikau
CBY @ CRO | EDG
$471K  |  -$42k ( -$34k ), -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,, -$34k ,39,38.3,,,,,,,4,,24,8,-10,,4,-2,,,13,,,-2,,,,,
J. Ramien
CRO v CBY | CTR
$633K  |  $86k ( $97k ), $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,, $97k ,37,43.8,,,,,,5,,2,8,4,-6,4,8,,,,12,,,,,,,,
D. Finucane
CRO v CBY | MID
$439K  |  -$75k ( -$43k ), -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,, -$43k ,37,22.7,,,,,,,,,26,2,-2,,,-2,,,13,,,,,,,,
O. Kaufusi
CRO v CBY | MID
$500K  |  $118k ( $101k ), $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,, $101k ,35,37,,,,,,,,,21,,,,8,-2,,,8,,,,,,,,
J. Salmon
CBY @ CRO | EDG, MID
