Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
L. Mitchell
SOU @ MAN | WFB
$518K  |  -$153k ( -$153k ), -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,, -$153k ,42,38.2,,,,,,,,,29,2,,,4,,4,,7,,,-4,,,,,
L. Martin
PEN @ MEL | EDG
$536K  |  -$54k ( -$54k ), -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,, -$54k ,42,37.1,,,,,,,,,32,4,-2,,,-2,4,,8,,,-2,,,,,
D. Edwards
PEN @ MEL | WFB
$672K  |  $12k ( $12k ), $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,, $12k ,41,54.7,,,5,,,,,,6,2,-2,,4,,4,,19,,3,,,,,,
J. Hughes
MEL v PEN | HLF
$835K  |  $120k ( $120k ), $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,, $120k ,40,60.4,,,,,,,4,,19,2,-10,,4,,,,11,13,,-2,,,,-1,
X. Coates
MEL v PEN | WFB
$424K  |  $29k ( $29k ), $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,, $29k ,39,33.7,,,,,,5,,,5,6,-2,,4,-2,4,,15,,4,,,,,,
T. Loiero
MEL v PEN | EDG, MID
$639K  |  $38k ( $38k ), $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,, $38k ,38,44.8,,,,,,,,,36,,-2,,,-2,,,8,,,-2,,,,,
J. Pezet
MEL v PEN | HLF
